,datatypeid,instrumentid,partyid,productid,rank,shortname,tradingday,varvolume,volume
108,0,T1806,0121,T,19,中钢期货,20180525,53,60
109,1,T1809,0159,T,19,中国国际,20180525,-5,800
110,1,T1809,0172,T,11,中金期货,20180525,103,1165
111,1,T1809,0010,T,10,中粮期货,20180525,-10,1213
112,0,T1806,0179,T,2,中融汇信,20180525,138,557
113,0,T1809,0179,T,20,中融汇信,20180525,210,1013
114,0,T1806,0018,T,1,中信期货,20180525,367,1406
115,0,T1809,0018,T,2,中信期货,20180525,1933,5350
116,1,T1809,0018,T,1,中信期货,20180525,958,4496
117,1,T1806,0018,T,8,中信期货,20180525,-11,83
118,2,T1806,0018,T,7,中信期货,20180525,-243,217
119,2,T1809,0018,T,2,中信期货,20180525,436,4343
